,LLM,LLM_Regressor
car,,"'max_depth': 1
 'min_leaf_size': 0.01
 'ccp_alpha': 0.0
 'lr_alpha': 10"
crab,,"'max_depth': 3
 'min_leaf_size': 0.01
 'ccp_alpha': 0.02
 'lr_alpha': 2.0"
medical,,"'max_depth': 2
 'min_leaf_size': 0.01
 'ccp_alpha': 0.0
 'lr_alpha': 10"
productivity,,"'max_depth': 4
 'min_leaf_size': 0.1
 'ccp_alpha': 0.0
 'lr_alpha': 100"
student,,"'max_depth': 1
 'min_leaf_size': 0.5
 'ccp_alpha': 0.0
 'lr_alpha': 100"
crimes,,"'max_depth': 1
 'min_leaf_size': 0.5
 'ccp_alpha': 0.0
 'lr_alpha': 100"
bike,,"'max_depth': 4
 'min_leaf_size': 0.01
 'ccp_alpha': 0.0
 'lr_alpha': 0.1"
housing,,"'max_depth': 4
 'min_leaf_size': 0.01
 'ccp_alpha': 0.0
 'lr_alpha': 0.1"
diamond,,"'max_depth': 4
 'min_leaf_size': 0.01
 'ccp_alpha': 0.0
 'lr_alpha': 0.1"
wine,,"'max_depth': 4
 'min_leaf_size': 0.01
 'ccp_alpha': 0.0
 'lr_alpha': 2.0"
